,OrderID,OrderDate,Region,Category,Product,Price,Quantity,Sales,Month,WeekDay,Sales_Tax,Final_Price
0,1,2023-10-02,East,Furniture,Chair,1973.92,4,7895.68,10,0,789.57,8685.25
1,2,2023-02-05,West,Furniture,Bed,1379.26,3,4137.78,2,6,413.78,4551.56
2,3,2023-12-14,North,Food,Milk,791.39,3,2374.17,12,3,237.42,2611.59
3,4,2023-09-14,East,Electronics,Smartphone,1336.2,1,1336.2,9,3,133.62,1469.82
4,5,2023-12-11,East,Clothing,Shirt,108.58,1,108.58,12,0,10.86,119.44
5,6,2023-09-28,West,Clothing,Shirt,377.58,1,377.58,9,3,37.76,415.34
6,7,2023-08-26,North,Food,Chicken,1604.75,2,3209.5,8,5,320.95,3530.45
7,8,2023-12-27,North,Food,Rice,1931.25,4,7725.0,12,2,772.5,8497.5
8,9,2023-04-17,East,Clothing,Pants,1257.28,5,6286.4,4,0,628.64,6915.04
9,10,2023-06-11,South,Clothing,Pants,429.19,3,1287.57,6,6,128.76,1416.33
10,11,2023-11-08,East,Electronics,Camera,1870.23,5,9351.15,11,2,935.12,10286.27
11,12,2023-02-06,East,Food,Chicken,232.67,2,465.34,2,0,46.53,511.87
12,13,2023-07-29,East,Electronics,TV,1320.93,5,6604.650000000001,7,5,660.47,7265.12
13,14,2023-06-25,East,Food,Eggs,866.39,1,866.39,6,6,86.64,953.03
14,15,2023-08-24,West,Food,Milk,1941.39,5,9706.95,8,3,970.7,10677.65
15,16,2023-02-23,North,Electronics,TV,727.91,5,3639.55,2,3,363.96,4003.51
16,17,2023-01-24,West,Furniture,Bed,935.19,2,1870.38,1,1,187.04,2057.42
17,18,2023-09-08,West,Furniture,Sofa,1717.59,2,3435.18,9,4,343.52,3778.7
18,19,2023-09-18,West,Furniture,Chair,632.64,5,3163.2,9,0,316.32,3479.52
19,20,2023-04-23,East,Food,Chicken,810.28,4,3241.12,4,6,324.11,3565.23
20,21,2023-08-30,South,Electronics,Camera,1078.91,5,5394.55,8,2,539.46,5934.01
21,22,2023-06-07,North,Furniture,Table,1137.18,4,4548.72,6,2,454.87,5003.59
22,23,2023-11-27,South,Clothing,Shoes,231.28,5,1156.4,11,0,115.64,1272.04
23,24,2023-08-20,West,Furniture,Sofa,638.59,5,3192.9500000000003,8,6,319.3,3512.25
24,25,2023-07-23,West,Electronics,Headphones,417.04,5,2085.2000000000003,7,6,208.52,2293.72
25,26,2023-01-20,South,Food,Rice,1943.45,3,5830.35,1,4,583.04,6413.39
26,27,2023-03-06,South,Electronics,Headphones,553.75,5,2768.75,3,0,276.88,3045.63
27,28,2023-02-01,South,Food,Rice,32.34,4,129.36,2,2,12.94,142.3
28,29,2023-08-29,West,Electronics,Camera,212.88,5,1064.4,8,1,106.44,1170.84
29,30,2023-02-10,West,Electronics,Headphones,1038.92,3,3116.76,2,4,311.68,3428.44
30,31,2023-01-09,North,Clothing,Pants,1295.15,2,2590.3,1,0,259.03,2849.33
31,32,2023-03-26,North,Furniture,Table,159.75,5,798.75,3,6,79.88,878.63
32,33,2023-06-12,West,Furniture,Sofa,81.06,1,81.06,6,0,8.11,89.17
33,34,2023-05-06,South,Electronics,Headphones,763.5,3,2290.5,5,5,229.05,2519.55
34,35,2023-02-22,South,Furniture,Bed,878.28,3,2634.84,2,2,263.48,2898.32
35,36,2023-07-08,North,Clothing,Shirt,557.95,1,557.95,7,5,55.8,613.75
36,37,2023-08-08,West,Electronics,Smartphone,568.9,4,2275.6,8,1,227.56,2503.16
37,38,2023-12-30,North,Furniture,Desk,1286.61,4,5146.44,12,5,514.64,5661.08
38,39,2023-05-27,North,Furniture,Chair,1073.78,3,3221.34,5,5,322.13,3543.47
39,40,2023-02-14,East,Food,Chicken,346.43,1,346.43,2,1,34.64,381.07
40,41,2023-12-12,East,Furniture,Chair,763.32,1,763.32,12,1,76.33,839.65
41,42,2023-01-10,East,Furniture,Table,277.64,2,555.28,1,1,55.53,610.81
42,43,2023-07-07,South,Food,Chicken,183.26,2,366.52,7,4,36.65,403.17
43,44,2023-06-28,West,Electronics,Smartphone,1409.69,4,5638.76,6,2,563.88,6202.64
44,45,2023-12-14,West,Electronics,Laptop,1759.04,2,3518.08,12,3,351.81,3869.89
45,46,2023-08-10,West,Clothing,Jacket,759.0,3,2277.0,8,3,227.7,2504.7
46,47,2023-03-09,West,Food,Rice,210.06,3,630.1800000000001,3,3,63.02,693.2
47,48,2023-07-01,East,Electronics,Camera,394.77,5,1973.85,7,5,197.38,2171.23
48,49,2023-03-09,South,Furniture,Sofa,1712.64,3,5137.92,3,3,513.79,5651.71
49,50,2023-04-17,South,Furniture,Sofa,340.84,2,681.68,4,0,68.17,749.85
50,51,2023-09-07,East,Furniture,Sofa,375.37,1,375.37,9,3,37.54,412.91
51,52,2023-11-21,South,Clothing,Pants,381.28,2,762.56,11,1,76.26,838.82
52,53,2023-02-16,East,Electronics,Headphones,1415.72,3,4247.16,2,3,424.72,4671.88
53,54,2023-03-09,West,Food,Eggs,136.23,4,544.92,3,3,54.49,599.41
54,55,2023-09-10,East,Electronics,Smartphone,1781.68,5,8908.4,9,6,890.84,9799.24
55,56,2023-12-05,West,Food,Bread,1317.84,5,6589.2,12,1,658.92,7248.12
56,57,2023-06-05,West,Food,Bread,811.42,3,2434.26,6,0,243.43,2677.69
57,58,2023-12-09,North,Electronics,TV,16.15,2,32.3,12,5,3.23,35.53
58,59,2023-09-05,East,Furniture,Chair,656.92,4,2627.68,9,1,262.77,2890.45
59,60,2023-11-18,North,Furniture,Sofa,671.15,2,1342.3,11,5,134.23,1476.53
60,61,2023-08-08,East,Food,Bread,544.22,1,544.22,8,1,54.42,598.64
61,62,2023-01-11,East,Furniture,Chair,577.39,2,1154.78,1,2,115.48,1270.26
62,63,2023-04-21,North,Clothing,Shoes,462.3,4,1849.2,4,4,184.92,2034.12
63,64,2023-12-16,North,Clothing,Shoes,1296.41,1,1296.41,12,5,129.64,1426.05
64,65,2023-03-27,East,Food,Bread,1329.88,3,3989.64,3,0,398.96,4388.6
65,66,2023-05-05,South,Furniture,Bed,1853.01,1,1853.01,5,4,185.3,2038.31
66,67,2023-10-07,West,Food,Eggs,1131.28,3,3393.84,10,5,339.38,3733.22
67,68,2023-08-18,North,Clothing,Dress,823.37,3,2470.11,8,4,247.01,2717.12
68,69,2023-12-22,West,Clothing,Jacket,1314.34,1,1314.34,12,4,131.43,1445.77
69,70,2023-03-31,South,Clothing,Shoes,497.81,2,995.62,3,4,99.56,1095.18
70,71,2023-12-27,South,Electronics,Smartphone,1760.35,5,8801.75,12,2,880.18,9681.93
71,72,2023-03-24,South,Clothing,Shirt,1234.18,4,4936.72,3,4,493.67,5430.39
72,73,2023-08-05,North,Furniture,Bed,972.41,5,4862.05,8,5,486.21,5348.26
73,74,2023-03-24,South,Electronics,Headphones,386.69,4,1546.76,3,4,154.68,1701.44
74,75,2023-04-27,North,Clothing,Shoes,29.94,3,89.82000000000001,4,3,8.98,98.8
75,76,2023-08-11,South,Furniture,Sofa,369.82,4,1479.28,8,4,147.93,1627.21
76,77,2023-03-31,West,Clothing,Shirt,1554.12,4,6216.48,3,4,621.65,6838.13
77,78,2023-04-30,West,Furniture,Desk,866.03,2,1732.06,4,6,173.21,1905.27
78,79,2023-06-21,East,Furniture,Bed,1609.35,1,1609.35,6,2,160.94,1770.29
79,80,2023-08-28,West,Clothing,Pants,483.74,5,2418.7,8,0,241.87,2660.57
80,81,2023-01-08,East,Clothing,Shirt,294.23,4,1176.92,1,6,117.69,1294.61
81,82,2023-03-05,West,Electronics,Camera,419.97,4,1679.88,3,6,167.99,1847.87
82,83,2023-11-16,North,Clothing,Pants,1478.26,3,4434.78,11,3,443.48,4878.26
83,84,2023-09-07,West,Furniture,Desk,1255.34,1,1255.34,9,3,125.53,1380.87
84,85,2023-01-26,East,Food,Rice,1707.51,2,3415.02,1,3,341.5,3756.52
85,86,2023-01-16,East,Electronics,Laptop,1137.85,4,4551.4,1,0,455.14,5006.54
86,87,2023-04-22,South,Furniture,Sofa,1250.01,2,2500.02,4,5,250.0,2750.02
87,88,2023-03-01,North,Furniture,Table,730.87,5,3654.35,3,2,365.44,4019.79
88,89,2023-02-11,West,Food,Chicken,1389.9,3,4169.700000000001,2,5,416.97,4586.67
89,90,2023-02-02,South,Clothing,Dress,736.19,3,2208.57,2,3,220.86,2429.43
90,91,2023-11-21,West,Furniture,Table,990.53,1,990.53,11,1,99.05,1089.58
91,92,2023-07-14,West,Food,Bread,139.55,2,279.1,7,4,27.91,307.01
92,93,2023-03-06,South,Food,Milk,650.78,5,3253.9,3,0,325.39,3579.29
93,94,2023-10-02,South,Clothing,Shoes,259.6,3,778.8000000000001,10,0,77.88,856.68
94,95,2023-06-03,South,Food,Chicken,943.08,4,3772.32,6,5,377.23,4149.55
95,96,2023-02-05,South,Food,Bread,128.65,2,257.3,2,6,25.73,283.03
96,97,2023-11-04,South,Food,Milk,715.17,2,1430.34,11,5,143.03,1573.37
97,98,2023-05-09,West,Food,Eggs,974.36,4,3897.44,5,1,389.74,4287.18
98,99,2023-12-03,South,Food,Eggs,1105.33,2,2210.66,12,6,221.07,2431.73
99,100,2023-04-10,North,Food,Rice,487.3,5,2436.5,4,0,243.65,2680.15
100,101,2023-10-21,East,Furniture,Desk,100.36,1,100.36,10,5,10.04,110.4
101,102,2023-12-14,South,Electronics,Smartphone,14.82,5,74.1,12,3,7.41,81.51
102,103,2023-09-13,South,Clothing,Dress,407.87,3,1223.61,9,2,122.36,1345.97
103,104,2023-06-22,West,Electronics,Headphones,974.76,4,3899.04,6,3,389.9,4288.94
104,105,2023-05-30,South,Clothing,Shirt,721.15,1,721.15,5,1,72.11,793.26
105,106,2023-10-19,South,Electronics,Camera,1257.67,3,3773.01,10,3,377.3,4150.31
106,107,2023-09-03,South,Clothing,Jacket,627.56,3,1882.68,9,6,188.27,2070.95
107,108,2023-09-24,West,Food,Chicken,1108.4,1,1108.4,9,6,110.84,1219.24
108,109,2023-07-29,South,Electronics,TV,1724.82,3,5174.46,7,5,517.45,5691.91
109,110,2023-09-08,East,Electronics,Camera,1029.9,3,3089.7000000000003,9,4,308.97,3398.67
110,111,2023-04-22,West,Clothing,Dress,1113.6,2,2227.2,4,5,222.72,2449.92
111,112,2023-06-29,East,Clothing,Shoes,1279.95,5,6399.75,6,3,639.98,7039.73
112,113,2023-10-25,West,Furniture,Sofa,576.9,4,2307.6,10,2,230.76,2538.36
113,114,2023-12-18,South,Food,Bread,1471.4,2,2942.8,12,0,294.28,3237.08
114,115,2023-12-01,East,Food,Bread,1535.68,1,1535.68,12,4,153.57,1689.25
115,116,2023-08-10,West,Furniture,Bed,327.1,1,327.1,8,3,32.71,359.81
116,117,2023-09-27,North,Clothing,Dress,1138.72,1,1138.72,9,2,113.87,1252.59
117,118,2023-01-14,South,Food,Chicken,888.71,4,3554.84,1,5,355.48,3910.32
118,119,2023-02-16,West,Clothing,Jacket,229.75,5,1148.75,2,3,114.88,1263.63
119,120,2023-03-26,North,Food,Bread,1873.28,1,1873.28,3,6,187.33,2060.61
120,121,2023-12-03,West,Electronics,Camera,623.33,3,1869.99,12,6,187.0,2056.99
121,122,2023-04-25,North,Electronics,TV,931.94,3,2795.82,4,1,279.58,3075.4
122,123,2023-10-03,South,Food,Bread,733.97,1,733.97,10,1,73.4,807.37
123,124,2023-01-30,East,Food,Bread,1475.33,3,4425.99,1,0,442.6,4868.59
124,125,2023-02-23,North,Food,Milk,1256.64,1,1256.64,2,3,125.66,1382.3
125,126,2023-06-11,West,Furniture,Desk,1292.46,3,3877.38,6,6,387.74,4265.12
126,127,2023-05-04,South,Food,Chicken,104.88,3,314.64,5,3,31.46,346.1
127,128,2023-04-06,North,Furniture,Table,1952.13,3,5856.39,4,3,585.64,6442.03
128,129,2023-07-20,West,Furniture,Chair,567.18,2,1134.36,7,3,113.44,1247.8
129,130,2023-12-19,West,Electronics,Camera,288.78,2,577.56,12,1,57.76,635.32
130,131,2023-12-13,West,Food,Rice,456.26,5,2281.3,12,2,228.13,2509.43
131,132,2023-04-29,North,Electronics,Smartphone,1420.26,2,2840.52,4,5,284.05,3124.57
132,133,2023-04-06,North,Electronics,TV,1940.95,1,1940.95,4,3,194.1,2135.05
133,134,2023-02-25,North,Furniture,Sofa,569.74,5,2848.7,2,5,284.87,3133.57
134,135,2023-12-10,East,Clothing,Shoes,526.86,5,2634.3,12,6,263.43,2897.73
135,136,2023-03-22,North,Furniture,Desk,1894.16,3,5682.4800000000005,3,2,568.25,6250.73
136,137,2023-12-26,North,Electronics,Smartphone,1235.54,4,4942.16,12,1,494.22,5436.38
137,138,2023-07-27,North,Furniture,Chair,1097.22,4,4388.88,7,3,438.89,4827.77
138,139,2023-09-29,East,Furniture,Sofa,566.9,4,2267.6,9,4,226.76,2494.36
139,140,2023-02-17,North,Furniture,Table,1071.34,3,3214.0199999999995,2,4,321.4,3535.42
140,141,2023-10-10,West,Food,Chicken,22.86,2,45.72,10,1,4.57,50.29
141,142,2023-09-19,North,Furniture,Bed,1118.18,1,1118.18,9,1,111.82,1230.0
142,143,2023-04-13,West,Electronics,Camera,959.76,4,3839.04,4,3,383.9,4222.94
143,144,2023-05-13,West,Furniture,Bed,1201.71,2,2403.42,5,5,240.34,2643.76
144,145,2023-10-19,West,Food,Chicken,1487.04,1,1487.04,10,3,148.7,1635.74
145,146,2023-04-17,East,Electronics,TV,357.96,5,1789.8,4,0,178.98,1968.78
146,147,2023-10-22,East,Furniture,Sofa,360.55,2,721.1,10,6,72.11,793.21
147,148,2023-10-21,East,Electronics,Headphones,893.38,3,2680.14,10,5,268.01,2948.15
148,149,2023-10-25,North,Food,Rice,1472.05,2,2944.1,10,2,294.41,3238.51
149,150,2023-08-04,West,Clothing,Jacket,333.69,2,667.38,8,4,66.74,734.12
150,151,2023-12-04,East,Food,Eggs,844.69,3,2534.07,12,0,253.41,2787.48
151,152,2023-03-10,East,Food,Chicken,1120.73,3,3362.19,3,4,336.22,3698.41
152,153,2023-10-18,North,Electronics,Camera,1084.55,4,4338.2,10,2,433.82,4772.02
153,154,2023-10-05,East,Electronics,Headphones,1749.18,3,5247.54,10,3,524.75,5772.29
154,155,2023-04-09,North,Clothing,Shirt,706.41,4,2825.64,4,6,282.56,3108.2
155,156,2023-04-20,South,Clothing,Shirt,353.21,4,1412.84,4,3,141.28,1554.12
156,157,2023-10-28,East,Clothing,Dress,442.61,3,1327.83,10,5,132.78,1460.61
157,158,2023-05-14,South,Food,Bread,1671.41,5,8357.050000000001,5,6,835.71,9192.76
158,159,2023-03-09,North,Food,Rice,997.02,3,2991.06,3,3,299.11,3290.17
159,160,2023-12-19,West,Clothing,Shirt,825.94,2,1651.88,12,1,165.19,1817.07
160,161,2023-12-23,East,Clothing,Pants,1389.41,3,4168.2300000000005,12,5,416.82,4585.05
161,162,2023-06-22,North,Clothing,Jacket,923.78,2,1847.56,6,3,184.76,2032.32
162,163,2023-08-14,West,Furniture,Bed,1997.58,3,5992.74,8,0,599.27,6592.01
163,164,2023-03-14,West,Furniture,Desk,856.24,5,4281.2,3,1,428.12,4709.32
164,165,2023-12-28,South,Clothing,Shirt,747.65,4,2990.6,12,3,299.06,3289.66
165,166,2023-07-26,North,Food,Milk,1784.0,3,5352.0,7,2,535.2,5887.2
166,167,2023-11-01,West,Electronics,Laptop,247.14,2,494.28,11,2,49.43,543.71
167,168,2023-06-29,East,Food,Milk,157.56,4,630.24,6,3,63.02,693.26
168,169,2023-12-06,East,Electronics,Headphones,943.51,3,2830.53,12,2,283.05,3113.58
169,170,2023-06-27,South,Clothing,Jacket,1979.32,2,3958.64,6,1,395.86,4354.5
170,171,2023-07-05,West,Furniture,Sofa,717.52,4,2870.08,7,2,287.01,3157.09
171,172,2023-01-01,North,Furniture,Table,1391.4,2,2782.8,1,6,278.28,3061.08
172,173,2023-11-21,East,Electronics,Laptop,977.3,3,2931.9,11,1,293.19,3225.09
173,174,2023-02-28,West,Clothing,Jacket,1431.27,3,4293.81,2,1,429.38,4723.19
174,175,2023-06-19,West,Furniture,Chair,686.99,2,1373.98,6,0,137.4,1511.38
175,176,2023-07-28,South,Clothing,Dress,1802.88,5,9014.4,7,4,901.44,9915.84
176,177,2023-05-21,East,Clothing,Shirt,194.68,4,778.72,5,6,77.87,856.59
177,178,2023-04-20,East,Electronics,Camera,1612.84,5,8064.2,4,3,806.42,8870.62
178,179,2023-11-20,North,Clothing,Dress,163.06,2,326.12,11,0,32.61,358.73
179,180,2023-10-03,East,Clothing,Jacket,1981.95,3,5945.85,10,1,594.58,6540.43
180,181,2023-10-20,North,Electronics,Camera,390.28,5,1951.4,10,4,195.14,2146.54
181,182,2023-03-20,East,Furniture,Chair,765.97,2,1531.94,3,0,153.19,1685.13
182,183,2023-02-19,South,Food,Chicken,797.16,3,2391.48,2,6,239.15,2630.63
183,184,2023-06-12,East,Clothing,Shirt,1949.55,2,3899.1,6,0,389.91,4289.01
184,185,2023-01-23,North,Electronics,Smartphone,47.51,5,237.55,1,0,23.76,261.31
185,186,2023-12-17,North,Furniture,Table,528.14,4,2112.56,12,6,211.26,2323.82
186,187,2023-03-20,South,Clothing,Shirt,1160.28,3,3480.84,3,0,348.08,3828.92
187,188,2023-05-23,East,Food,Milk,1132.08,2,2264.16,5,1,226.42,2490.58
188,189,2023-01-28,East,Furniture,Bed,383.43,1,383.43,1,5,38.34,421.77
189,190,2023-12-28,South,Electronics,Smartphone,894.86,5,4474.3,12,3,447.43,4921.73
190,191,2023-09-25,East,Clothing,Jacket,48.74,2,97.48,9,0,9.75,107.23
191,192,2023-12-30,East,Electronics,Headphones,1583.79,5,7918.95,12,5,791.9,8710.85
192,193,2023-08-05,North,Food,Eggs,268.29,3,804.8700000000001,8,5,80.49,885.36
193,194,2023-05-06,East,Food,Eggs,336.0,3,1008.0,5,5,100.8,1108.8
194,195,2023-10-15,East,Electronics,Headphones,867.55,2,1735.1,10,6,173.51,1908.61
195,196,2023-12-23,South,Clothing,Jacket,1670.38,2,3340.76,12,5,334.08,3674.84
196,197,2023-09-18,South,Electronics,Smartphone,828.2,3,2484.6000000000004,9,0,248.46,2733.06
197,198,2023-02-26,West,Furniture,Chair,976.14,1,976.14,2,6,97.61,1073.75
198,199,2023-10-14,North,Electronics,Headphones,84.65,3,253.95,10,5,25.4,279.35
199,200,2023-08-20,East,Food,Bread,879.87,4,3519.48,8,6,351.95,3871.43
200,201,2023-10-11,East,Clothing,Shoes,1840.5,5,9202.5,10,2,920.25,10122.75
201,202,2023-11-29,West,Clothing,Shoes,117.32,2,234.64,11,2,23.46,258.1
202,203,2023-10-23,East,Food,Eggs,679.83,2,1359.66,10,0,135.97,1495.63
