OrderID,OrderDate,Region,Category,Product,Price,Quantity,Sales
1,2023-10-02,East,Furniture,Chair,1973.92,4,7895.68
2,2023-02-05,West,Furniture,Bed,1379.26,3,4137.78
3,2023-12-14,North,Food,Milk,791.39,3,2374.17
4,2023-09-14,East,Electronics,Smartphone,1336.2,1,1336.2
5,2023-12-11,East,Clothing,Shirt,108.58,1,108.58
6,2023-09-28,West,Clothing,Shirt,377.58,1,377.58
7,2023-08-26,North,Food,Chicken,1604.75,2,3209.5
8,2023-12-27,North,Food,Rice,1931.25,4,7725.0
9,2023-04-17,East,Clothing,Pants,1257.28,5,6286.4
10,2023-06-11,South,Clothing,Pants,429.19,3,1287.57
11,2023-11-08,East,Electronics,Camera,1870.23,5,9351.15
12,2023-02-06,East,Food,Chicken,232.67,2,465.34
13,2023-07-29,East,Electronics,TV,1320.93,5,6604.650000000001
14,2023-06-25,East,Food,Eggs,866.39,1,866.39
15,2023-08-24,West,Food,Milk,1941.39,5,9706.95
16,2023-02-23,North,Electronics,TV,727.91,5,3639.5499999999997
17,2023-01-24,West,Furniture,Bed,935.19,2,1870.38
18,2023-09-08,West,Furniture,Sofa,1717.59,2,3435.18
19,2023-09-18,West,Furniture,Chair,632.64,5,3163.2
20,2023-04-23,East,Food,Chicken,810.28,4,3241.12
21,2023-08-30,South,Electronics,Camera,1078.91,5,5394.55
22,2023-06-07,North,Furniture,Table,1137.18,4,4548.72
23,2023-11-27,South,Clothing,Shoes,231.28,5,1156.4
24,2023-08-20,West,Furniture,Sofa,638.59,5,3192.9500000000003
25,2023-07-23,West,Electronics,Headphones,417.04,5,2085.2000000000003
26,2023-01-20,South,Food,Rice,1943.45,3,5830.35
27,2023-03-06,South,Electronics,Headphones,553.75,5,2768.75
28,2023-02-01,South,Food,Rice,32.34,4,129.36
29,2023-08-29,West,Electronics,Camera,212.88,5,1064.4
30,2023-02-10,West,Electronics,Headphones,1038.92,3,3116.76
31,2023-01-09,North,Clothing,Pants,1295.15,2,2590.3
32,2023-03-26,North,Furniture,Table,159.75,5,798.75
33,2023-06-12,West,Furniture,Sofa,81.06,1,81.06
34,2023-05-06,South,Electronics,Headphones,763.5,3,2290.5
35,2023-02-22,South,Furniture,Bed,878.28,3,2634.84
36,2023-07-08,North,Clothing,Shirt,557.95,1,557.95
37,2023-08-08,West,Electronics,Smartphone,568.9,4,2275.6
38,2023-12-30,North,Furniture,Desk,1286.61,4,5146.44
39,2023-05-27,North,Furniture,Chair,1073.78,3,3221.34
40,2023-02-14,East,Food,Chicken,346.43,1,346.43
41,2023-12-12,East,Furniture,Chair,763.32,1,763.32
42,2023-01-10,East,Furniture,Table,277.64,2,555.28
43,2023-07-07,South,Food,Chicken,183.26,2,366.52
44,2023-06-28,West,Electronics,Smartphone,1409.69,4,5638.76
45,2023-12-14,West,Electronics,Laptop,1759.04,2,3518.08
46,2023-08-10,West,Clothing,Jacket,759.0,3,2277.0
47,2023-03-09,West,Food,Rice,210.06,3,630.1800000000001
48,2023-07-01,East,Electronics,Camera,394.77,5,1973.85
49,2023-03-09,South,Furniture,Sofa,1712.64,3,5137.92
50,2023-04-17,South,Furniture,Sofa,340.84,2,681.68
51,2023-09-07,East,Furniture,Sofa,375.37,1,375.37
52,2023-11-21,South,Clothing,Pants,381.28,2,762.56
53,2023-02-16,East,Electronics,Headphones,1415.72,3,4247.16
54,2023-03-09,West,Food,Eggs,136.23,4,544.92
55,2023-09-10,East,Electronics,Smartphone,1781.68,5,8908.4
56,2023-12-05,West,Food,Bread,1317.84,5,6589.2
57,2023-06-05,West,Food,Bread,811.42,3,2434.2599999999998
58,2023-12-09,North,Electronics,TV,16.15,2,32.3
59,2023-09-05,East,Furniture,Chair,656.92,4,2627.68
60,2023-11-18,North,Furniture,Sofa,671.15,2,1342.3
61,2023-08-08,East,Food,Bread,544.22,1,544.22
62,2023-01-11,East,Furniture,Chair,577.39,2,1154.78
63,2023-04-21,North,Clothing,Shoes,462.3,4,1849.2
64,2023-12-16,North,Clothing,Shoes,1296.41,1,1296.41
65,2023-03-27,East,Food,Bread,1329.88,3,3989.6400000000003
66,2023-05-05,South,Furniture,Bed,1853.01,1,1853.01
67,2023-10-07,West,Food,Eggs,1131.28,3,3393.84
68,2023-08-18,North,Clothing,Dress,823.37,3,2470.11
69,2023-12-22,West,Clothing,Jacket,1314.34,1,1314.34
70,2023-03-31,South,Clothing,Shoes,497.81,2,995.62
71,2023-12-27,South,Electronics,Smartphone,1760.35,5,8801.75
72,2023-03-24,South,Clothing,Shirt,1234.18,4,4936.72
73,2023-08-05,North,Furniture,Bed,972.41,5,4862.05
74,2023-03-24,South,Electronics,Headphones,386.69,4,1546.76
75,2023-04-27,North,Clothing,Shoes,29.94,3,89.82000000000001
76,2023-08-11,South,Furniture,Sofa,369.82,4,1479.28
77,2023-03-31,West,Clothing,Shirt,1554.12,4,6216.48
78,2023-04-30,West,Furniture,Desk,866.03,2,1732.06
79,2023-06-21,East,Furniture,Bed,1609.35,1,1609.35
80,2023-08-28,West,Clothing,Pants,483.74,5,2418.7
81,2023-01-08,East,Clothing,Shirt,294.23,4,1176.92
82,2023-03-05,West,Electronics,Camera,419.97,4,1679.88
83,2023-11-16,North,Clothing,Pants,1478.26,3,4434.78
84,2023-09-07,West,Furniture,Desk,1255.34,1,1255.34
85,2023-01-26,East,Food,Rice,1707.51,2,3415.02
86,2023-01-16,East,Electronics,Laptop,1137.85,4,4551.4
87,2023-04-22,South,Furniture,Sofa,1250.01,2,2500.02
88,2023-03-01,North,Furniture,Table,730.87,5,3654.35
89,2023-02-11,West,Food,Chicken,1389.9,3,4169.700000000001
90,2023-02-02,South,Clothing,Dress,736.19,3,2208.57
91,2023-11-21,West,Furniture,Table,990.53,1,990.53
92,2023-07-14,West,Food,Bread,139.55,2,279.1
93,2023-03-06,South,Food,Milk,650.78,5,3253.8999999999996
94,2023-10-02,South,Clothing,Shoes,259.6,3,778.8000000000001
95,2023-06-03,South,Food,Chicken,943.08,4,3772.32
96,2023-02-05,South,Food,Bread,128.65,2,257.3
97,2023-11-04,South,Food,Milk,715.17,2,1430.34
98,2023-05-09,West,Food,Eggs,974.36,4,3897.44
99,2023-12-03,South,Food,Eggs,1105.33,2,2210.66
100,2023-04-10,North,Food,Rice,487.3,5,2436.5
101,2023-10-21,East,Furniture,Desk,100.36,1,100.36
102,2023-12-14,South,Electronics,Smartphone,14.82,5,74.1
103,2023-09-13,South,Clothing,Dress,407.87,3,1223.6100000000001
104,2023-06-22,West,Electronics,Headphones,974.76,4,3899.04
105,2023-05-30,South,Clothing,Shirt,721.15,1,721.15
106,2023-10-19,South,Electronics,Camera,1257.67,3,3773.01
107,2023-09-03,South,Clothing,Jacket,627.56,3,1882.6799999999998
108,2023-09-24,West,Food,Chicken,1108.4,1,1108.4
109,2023-07-29,South,Electronics,TV,1724.82,3,5174.46
110,2023-09-08,East,Electronics,Camera,1029.9,3,3089.7000000000003
111,2023-04-22,West,Clothing,Dress,1113.6,2,2227.2
112,2023-06-29,East,Clothing,Shoes,1279.95,5,6399.75
113,2023-10-25,West,Furniture,Sofa,576.9,4,2307.6
114,2023-12-18,South,Food,Bread,1471.4,2,2942.8
115,2023-12-01,East,Food,Bread,1535.68,1,1535.68
116,2023-08-10,West,Furniture,Bed,327.1,1,327.1
117,2023-09-27,North,Clothing,Dress,1138.72,1,1138.72
118,2023-01-14,South,Food,Chicken,888.71,4,3554.84
119,2023-02-16,West,Clothing,Jacket,229.75,5,1148.75
120,2023-03-26,North,Food,Bread,1873.28,1,1873.28
121,2023-12-03,West,Electronics,Camera,623.33,3,1869.9900000000002
122,2023-04-25,North,Electronics,TV,931.94,3,2795.82
123,2023-10-03,South,Food,Bread,733.97,1,733.97
124,2023-01-30,East,Food,Bread,1475.33,3,4425.99
125,2023-02-23,North,Food,Milk,1256.64,1,1256.64
126,2023-06-11,West,Furniture,Desk,1292.46,3,3877.38
127,2023-05-04,South,Food,Chicken,104.88,3,314.64
128,2023-04-06,North,Furniture,Table,1952.13,3,5856.39
129,2023-07-20,West,Furniture,Chair,567.18,2,1134.36
130,2023-12-19,West,Electronics,Camera,288.78,2,577.56
131,2023-12-13,West,Food,Rice,456.26,5,2281.3
132,2023-04-29,North,Electronics,Smartphone,1420.26,2,2840.52
133,2023-04-06,North,Electronics,TV,1940.95,1,1940.95
134,2023-02-25,North,Furniture,Sofa,569.74,5,2848.7
135,2023-12-10,East,Clothing,Shoes,526.86,5,2634.3
136,2023-03-22,North,Furniture,Desk,1894.16,3,5682.4800000000005
137,2023-12-26,North,Electronics,Smartphone,1235.54,4,4942.16
138,2023-07-27,North,Furniture,Chair,1097.22,4,4388.88
139,2023-09-29,East,Furniture,Sofa,566.9,4,2267.6
140,2023-02-17,North,Furniture,Table,1071.34,3,3214.0199999999995
141,2023-10-10,West,Food,Chicken,22.86,2,45.72
142,2023-09-19,North,Furniture,Bed,1118.18,1,1118.18
143,2023-04-13,West,Electronics,Camera,959.76,4,3839.04
144,2023-05-13,West,Furniture,Bed,1201.71,2,2403.42
145,2023-10-19,West,Food,Chicken,1487.04,1,1487.04
146,2023-04-17,East,Electronics,TV,357.96,5,1789.8
147,2023-10-22,East,Furniture,Sofa,360.55,2,721.1
148,2023-10-21,East,Electronics,Headphones,893.38,3,2680.14
149,2023-10-25,North,Food,Rice,1472.05,2,2944.1
150,2023-08-04,West,Clothing,Jacket,333.69,2,667.38
151,2023-12-04,East,Food,Eggs,844.69,3,2534.07
152,2023-03-10,East,Food,Chicken,1120.73,3,3362.19
153,2023-10-18,North,Electronics,Camera,1084.55,4,4338.2
154,2023-10-05,East,Electronics,Headphones,1749.18,3,5247.54
155,2023-04-09,North,Clothing,Shirt,706.41,4,2825.64
156,2023-04-20,South,Clothing,Shirt,353.21,4,1412.84
157,2023-10-28,East,Clothing,Dress,442.61,3,1327.83
158,2023-05-14,South,Food,Bread,1671.41,5,8357.050000000001
159,2023-03-09,North,Food,Rice,997.02,3,2991.06
160,2023-12-19,West,Clothing,Shirt,825.94,2,1651.88
161,2023-12-23,East,Clothing,Pants,1389.41,3,4168.2300000000005
162,2023-06-22,North,Clothing,Jacket,923.78,2,1847.56
163,2023-08-14,West,Furniture,Bed,1997.58,3,5992.74
164,2023-03-14,West,Furniture,Desk,856.24,5,4281.2
165,2023-12-28,South,Clothing,Shirt,747.65,4,2990.6
166,2023-07-26,North,Food,Milk,1784.0,3,5352.0
167,2023-11-01,West,Electronics,Laptop,247.14,2,494.28
168,2023-06-29,East,Food,Milk,157.56,4,630.24
169,2023-12-06,East,Electronics,Headphones,943.51,3,2830.5299999999997
170,2023-06-27,South,Clothing,Jacket,1979.32,2,3958.64
171,2023-07-05,West,Furniture,Sofa,717.52,4,2870.08
172,2023-01-01,North,Furniture,Table,1391.4,2,2782.8
173,2023-11-21,East,Electronics,Laptop,977.3,3,2931.8999999999996
174,2023-02-28,West,Clothing,Jacket,1431.27,3,4293.8099999999995
175,2023-06-19,West,Furniture,Chair,686.99,2,1373.98
176,2023-07-28,South,Clothing,Dress,1802.88,5,9014.400000000001
177,2023-05-21,East,Clothing,Shirt,194.68,4,778.72
178,2023-04-20,East,Electronics,Camera,1612.84,5,8064.2
179,2023-11-20,North,Clothing,Dress,163.06,2,326.12
180,2023-10-03,East,Clothing,Jacket,1981.95,3,5945.85
181,2023-10-20,North,Electronics,Camera,390.28,5,1951.3999999999999
182,2023-03-20,East,Furniture,Chair,765.97,2,1531.94
183,2023-02-19,South,Food,Chicken,797.16,3,2391.48
184,2023-06-12,East,Clothing,Shirt,1949.55,2,3899.1
185,2023-01-23,North,Electronics,Smartphone,47.51,5,237.54999999999998
186,2023-12-17,North,Furniture,Table,528.14,4,2112.56
187,2023-03-20,South,Clothing,Shirt,1160.28,3,3480.84
188,2023-05-23,East,Food,Milk,1132.08,2,2264.16
189,2023-01-28,East,Furniture,Bed,383.43,1,383.43
190,2023-12-28,South,Electronics,Smartphone,894.86,5,4474.3
191,2023-09-25,East,Clothing,Jacket,48.74,2,97.48
192,2023-12-30,East,Electronics,Headphones,1583.79,5,7918.95
193,2023-08-05,North,Food,Eggs,268.29,3,804.8700000000001
194,2023-05-06,East,Food,Eggs,336.0,3,1008.0
195,2023-10-15,East,Electronics,Headphones,867.55,2,1735.1
196,2023-12-23,South,Clothing,Jacket,1670.38,2,3340.76
197,2023-09-18,South,Electronics,Smartphone,828.2,3,2484.6000000000004
198,2023-02-26,West,Furniture,Chair,976.14,1,976.14
199,2023-10-14,North,Electronics,Headphones,84.65,3,253.95000000000002
200,2023-08-20,East,Food,Bread,879.87,4,3519.48
201,2023-10-11,East,Clothing,Shoes,1840.5,5,9202.5
202,2023-11-29,West,Clothing,Shoes,117.32,2,234.64
