transaction_id,customer_id,product_id,sale_date,quantity,unit_price,total_amount,region,sales_rep
TXN_000000,CUST_1411,PROD_079,2023-06-04,10,376.25,3762.5,North,REP_48
TXN_000001,CUST_1608,PROD_462,2023-01-19,5,437.24,2186.2,South,REP_42
TXN_000002,CUST_0401,PROD_390,2023-07-05,7,243.02,1701.14,South,REP_32
TXN_000003,CUST_0623,PROD_093,2023-06-18,3,345.61,1036.83,North,REP_40
TXN_000004,CUST_1088,PROD_180,2023-08-05,4,469.4,1877.6,South,REP_17
TXN_000005,CUST_0998,PROD_010,2023-04-16,6,238.34,1430.04,West,REP_34
TXN_000006,CUST_0566,PROD_330,2023-10-08,9,458.39,4125.51,West,REP_45
TXN_000007,CUST_1451,PROD_155,2023-05-28,4,84.68,338.72,North,REP_48
TXN_000008,CUST_0961,PROD_064,2023-05-26,10,315.62,3156.2,North,REP_07
TXN_000009,CUST_1263,PROD_488,2023-11-15,4,107.69,430.76,East,REP_27
TXN_000010,CUST_1951,PROD_068,2023-11-25,10,149.36,1493.6,West,REP_38
TXN_000011,CUST_1487,PROD_341,2023-03-10,4,155.31,621.24,South,REP_15
TXN_000012,CUST_0104,PROD_058,2023-08-08,3,12.09,36.27,East,REP_31
TXN_000013,CUST_0558,PROD_137,2023-02-09,9,269.09,2421.81,East,REP_48
TXN_000014,CUST_1452,PROD_052,2023-01-10,3,91.71,275.13,South,REP_13
TXN_000015,CUST_1768,PROD_103,2023-05-24,8,362.98,2903.84,North,REP_15
TXN_000016,CUST_0183,PROD_015,2023-09-04,8,255.96,2047.68,West,REP_05
TXN_000017,CUST_0182,PROD_477,2023-03-08,10,396.97,3969.7,West,REP_07
TXN_000018,CUST_1698,PROD_060,2024-01-01,9,318.58,2867.22,East,REP_18
TXN_000019,CUST_0654,PROD_041,2023-10-03,5,485.65,2428.25,West,REP_25
TXN_000020,CUST_1918,PROD_254,2023-09-04,6,28.37,170.22,North,REP_43
TXN_000021,CUST_1941,PROD_255,2023-04-24,7,452.02,3164.14,East,REP_20
TXN_000022,CUST_0403,PROD_263,2023-04-29,1,209.88,209.88,South,REP_29
TXN_000023,CUST_0250,PROD_276,2023-10-05,9,118.67,1068.03,South,REP_47
TXN_000024,CUST_1345,PROD_376,2023-01-31,10,406.19,4061.9,South,REP_26
TXN_000025,CUST_1868,PROD_399,2023-04-26,6,210.0,1260.0,East,REP_20
TXN_000026,CUST_1768,PROD_212,2023-03-11,8,345.31,2762.48,North,REP_37
TXN_000027,CUST_1829,PROD_050,2023-10-13,4,382.51,1530.04,North,REP_15
TXN_000028,CUST_0095,PROD_055,2023-07-22,3,62.16,186.48,South,REP_38
TXN_000029,CUST_0549,PROD_080,2023-09-11,8,259.94,2079.52,South,REP_42
TXN_000030,CUST_1179,PROD_293,2023-01-11,7,342.84,2399.88,East,REP_33
TXN_000031,CUST_0443,PROD_298,2023-06-04,4,440.03,1760.12,South,REP_42
TXN_000032,CUST_1928,PROD_139,2023-06-09,10,403.21,4032.1,South,REP_12
TXN_000033,CUST_1109,PROD_041,2023-09-18,7,48.35,338.45,South,REP_01
TXN_000034,CUST_0849,PROD_219,2023-12-30,1,17.75,17.75,East,REP_10
TXN_000035,CUST_0409,PROD_447,2023-11-03,4,454.52,1818.08,West,REP_03
TXN_000036,CUST_0020,PROD_476,2023-07-06,10,185.19,1851.9,West,REP_20
TXN_000037,CUST_1172,PROD_103,2023-06-12,3,294.83,884.49,West,REP_11
TXN_000038,CUST_0329,PROD_374,2023-05-06,3,381.89,1145.67,North,REP_21
TXN_000039,CUST_0549,PROD_183,2023-04-13,5,368.8,1844.0,East,REP_03
TXN_000040,CUST_0121,PROD_328,2023-10-09,8,469.81,3758.48,West,REP_31
TXN_000041,CUST_1256,PROD_385,2023-05-05,6,278.53,1671.18,South,REP_43
TXN_000042,CUST_1324,PROD_177,2023-03-19,9,463.87,4174.83,South,REP_19
TXN_000043,CUST_0276,PROD_297,2023-01-23,9,121.56,1094.04,East,REP_43
TXN_000044,CUST_0978,PROD_206,2023-03-07,6,444.4,2666.4,North,REP_08
TXN_000045,CUST_0707,PROD_450,2023-06-20,7,491.84,3442.88,South,REP_32
TXN_000046,CUST_0531,PROD_118,2023-10-22,2,194.36,388.72,South,REP_35
TXN_000047,CUST_0875,PROD_476,2023-12-24,3,262.1,786.3,West,REP_22
TXN_000048,CUST_1247,PROD_471,2023-07-07,8,175.38,1403.04,West,REP_02
TXN_000049,CUST_0818,PROD_472,2023-11-12,4,472.9,1891.6,East,REP_50
TXN_000050,CUST_0421,PROD_466,2023-08-04,4,106.54,426.16,North,REP_08
TXN_000051,CUST_0034,PROD_482,2023-02-10,3,124.28,372.84,South,REP_45
TXN_000052,CUST_1247,PROD_313,2023-10-16,5,167.06,835.3,North,REP_18
TXN_000053,CUST_1163,PROD_489,2023-11-23,4,449.48,1797.92,West,REP_16
TXN_000054,CUST_1351,PROD_075,2023-12-09,5,189.2,946.0,South,REP_25
TXN_000055,CUST_1297,PROD_083,2023-02-22,6,102.59,615.54,South,REP_20
TXN_000056,CUST_0185,PROD_078,2023-03-22,9,167.0,1503.0,North,REP_01
TXN_000057,CUST_1131,PROD_490,2023-05-06,8,257.4,2059.2,North,REP_16
TXN_000058,CUST_0511,PROD_331,2023-05-02,3,151.34,454.02,West,REP_35
TXN_000059,CUST_0570,PROD_437,2023-11-16,7,237.23,1660.61,West,REP_26
TXN_000060,CUST_1205,PROD_043,2023-02-21,8,380.55,3044.4,West,REP_08
TXN_000061,CUST_1717,PROD_102,2023-03-12,6,347.03,2082.18,East,REP_42
TXN_000062,CUST_0865,PROD_225,2023-12-14,4,368.39,1473.56,North,REP_24
TXN_000063,CUST_1953,PROD_255,2023-08-02,6,350.33,2101.98,East,REP_17
TXN_000064,CUST_1505,PROD_021,2023-05-25,7,145.74,1020.18,West,REP_04
TXN_000065,CUST_0475,PROD_126,2023-04-13,6,366.29,2197.74,West,REP_05
TXN_000066,CUST_0205,PROD_267,2023-03-02,8,211.8,1694.4,West,REP_34
TXN_000067,CUST_1763,PROD_348,2023-05-04,3,99.62,298.86,West,REP_43
